Name,Peaks,Peak_detection_threshold,PD_band_weighting,dimension,extra_center,color_sample_radius,color_avg_p,gal_t,jet_t,p_buffer,fiber_radius,fiber_slope,galaxy_radius,central_radius,extra_radius,jet_radius,general_slope,color_others,color_give,close_color,raise_gal_y,crush_jet_y,galaxy_constraint,monotonicUseNearest,max_iter,e_rel,traceback,update_order
SDSSJ020254-031307/, 0 36 4 53 13 19 22 29 33 51 47 109 58 21 58 71 59 59 62 40 78 68 86 52 86 118 87 70 101 5,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ020436-051136/, 32 63 34 38 36 76 42 115 53 90 58 59 71 69 78 54 82 38 89 44 103 25 106 60 108 76,12, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.2,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ020931-015613/, 0 69 20 117 21 21 33 44 51 71 61 59 62 5 77 50 80 4 108 85 114 45,10, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ021138-052411/, 4 58 7 89 32 78 34 114 36 51 57 84 59 60 61 101 64 115 85 51 86 13,11, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ021355-054941/, 35 7 50 78 59 59 66 86 73 88 95 63,11, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ021722-053454/, 21 32 41 72 49 22 52 57 60 59,14, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.3,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ022804-015302/, 6 108 60 60 60 100 62 15,15, 0 0 0 5 0,85,0,1,1,0.0005,0.025,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.4,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ022917-040328/, 9 84 17 59 59 58 73 115 76 18,12, 0 0 0 5 0,85,0,1,1,0.0005,0.01,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.5,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ023106-034513/, 3 45 45 98 60 59 73 115 75 26 87 81 101 72 101 78 114 108,16, 0 0 0 5 0,85,0,1,1,0.0005,0.02,15,6,1,15,40,15,40,0.5,1,0 0 0 0 0,0,1,0.15,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ023122-051738/, 28 109 40 78 45 38 48 82 53 95 60 59 86 58 97 31,16, 0 0 0 5 0,85,1,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.6,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ023340-040715/, 7 43 36 104 50 11 57 38 60 59 109 78,16, 0 0 0 5 0,85,0,1,1,0.0005,0.005,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,0.8,M,0,2000,1e-6 1e-3,0,1 0
SDSSJ024004-064744/, 0 32 32 25 49 16 59 60 64 76,20, 0 0 0 5 0,85,0,1,1,0.0005,0.025,15,6,1,15,40,15,15,0.5,1,0 0 0 0 0,0,1,1,M,0,2000,1e-6 1e-3,0,1 0
