# Obtained from SDSS skyserver with this query:
#
# SELECT e.objid, e.sdss_objid, f.ra, f.dec, f.peak, f.integr, f.rms, f.major, f.minor, f.pa, f.skyrms
# FROM MyDB.EELR as e LEFT JOIN DR16.FIRST as f ON e.sdss_objid=f.objid 
# WHERE f.peak > 0
# ORDER BY e.objid
# 
# where the table EELR contained all the sources that in parent_sample matched with HSC
#
objid,sdss_objid,ra,dec,peak,integr,rms,major,minor,pa,skyrms
2,1237650795143823751,140.513288058522,-0.745322248423692,6.31,6.26835,0.1479572,0.91,0,57,0.1440346
4,1237651753454076570,135.695696089723,1.34143890770675,1.19,1.379894,0.1385526,4.11,0,44.6,0.1391445
6,1237658298450379312,135.870726517394,4.12469702514416,109.36,113.3692,0.1529677,1.18,1.03,107.9,0.1521155
15,1237648722288771676,144.195948474074,0.760180577911114,3.75,4.264286,0.1522886,3.27,0,81.5,0.1496233
17,1237648721231085922,180.804618596028,-0.00943611144415091,2.01,1.804432,0.1367709,1.13,0,138.2,0.1364409
20,1237648722307645956,187.190626903936,0.83859723272009,2.95,3.135741,0.3644964,2.08,0,59,0.3833517
43,1237663277926777464,357.807329130187,0.617480530511505,3.73,3.558506,0.1063239,0,0,119,0.1055055
61,1237659326026613045,241.462326501617,44.0944274513221,2.43,2.207064,0.1429276,0,0,0.1,0.1433206
66,1237661416602402929,214.330369910604,53.1357264405864,2.13,1.733457,0.1449587,0,0,89.8,0.1431464
70,1237679254671589522,34.748792308115,-4.0437332433833,1.59,1.435746,0.1460356,2.54,0,122.9,0.1507985
75,1237651753989440152,132.235672520357,1.61317777039229,85.45,88.23816,0.150086,1.3,0.83,8.5,0.1483061
76,1237654599946535286,135.782658058236,2.19777771687851,21.07,22.49693,0.1388629,2.62,0,111.5,0.1396524
77,1237650796216714141,138.676349662382,0.11063055500836,1.64,1.439424,0.1505263,2.04,0,11.4,0.1484391
78,1237674459878523459,140.598487838229,2.15397229863663,3.16,3.355464,0.152321,2.39,0,17.2,0.1499159
79,1237651752919433584,140.825222797916,1.02918613762904,1.42,1.068034,0.1529635,1.9,0,46.8,0.1542719
82,1237648721753211162,147.150032610862,0.351230551917285,2.55,2.206304,0.1511116,0,0,120.9,0.1512537
85,1237648702967185538,185.052449844642,-1.09205557433977,1.7,1.969655,0.1494573,3.27,0.78,50.2,0.1451449
86,1237648721233182853,185.57445388215,-0.128672226226578,4.26,4.238753,0.1381313,1.09,0,83.6,0.1384324
88,1237648722322063937,220.130416289617,0.704972212210754,6.68,6.482613,0.1345746,1.27,0,43.7,0.1341844
90,1237662301902733428,228.312696047347,43.3332780004051,1.9,1.92303,0.1479104,1.57,0,118.2,0.1473537
92,1237662303514591529,232.630003980199,42.7823071306276,2.26,2.147562,0.1333238,1.81,0,60.3,0.1345047
93,1237661387613143602,237.932744285743,43.7994213357855,6.35,6.579016,0.1392968,1.39,0.43,65.2,0.137981
94,1237661388149948651,238.316409671801,44.1306650199636,2.41,3.179861,0.135077,4.47,1.08,19,0.1370299
95,1237659327101206745,244.229058549471,43.3582286814431,1.15,0.6772222,0.1479134,0,0,158.5,0.1508699
